ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge3/S2_5P_APPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",       2.68075,  -634.837E-03,       2.20378,      -1.38806
C:/Users/ctkey/Desktop/Bulge3/S2_5P_APPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",          8826,      -7.90293,       441.954,      -690.645,NA,NA,"",       2.31189,  -274.041E-03,       2.23840,  -509.206E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5P_APPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       2.19401,  -122.847E-03,       2.18600,  -141.402E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5P_APPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         12381,  -169.457E-03,       448.527,      -694.298,NA,NA,"",       2.37087,  -376.914E-03,       2.21276,  -763.318E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5P_APPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         14718,       9.41286,       441.501,      -692.656,NA,NA,"",       2.50100,  -265.541E-03,       2.44075,  -476.681E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5P_APPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         21923,      -13.1654,       451.383,      -693.965,NA,NA,"",       2.00158,  -415.233E-03,       1.81440,  -736.111E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5P_APPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         25566,      -9.09206,       441.331,      -692.974,NA,NA,"",       1.97402,  -279.432E-03,       1.94660,  -171.535E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5P_APPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         28021,   5.01118E-03,       433.364,      -700.360,NA,NA,"",       1.69773,  -163.594E-03,       1.66400,   294.333E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5P_APPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         29344,  -511.356E-03,       447.768,      -697.921,NA,NA,"",       1.88009,  -357.481E-03,       1.77108,  -519.825E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5P_APPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         31418,       11.0886,       440.894,      -694.746,NA,NA,"",       2.13666,  -272.123E-03,       2.11532,  -129.189E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5P_APPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         31648,      -8.64492,       441.480,      -692.086,NA,NA,"",       2.16069,  -537.560E-03,       2.08895,  -125.976E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5P_APPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         31686,      -7.23312,       447.084,      -693.934,NA,NA,"",       2.29567,  -552.519E-03,       2.13782,  -628.123E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5P_APPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         34090,   652.272E-03,       448.755,      -696.770,NA,NA,"",       2.43085,  -374.588E-03,       2.19156,  -982.749E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5P_APPhys_NoTether_Upgrade.odb,Load1,Increment     14: Step Time =   5.7264E-02,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",       1.52453,   126.267E-03,   639.354E-03,      -1.37822
C:/Users/ctkey/Desktop/Bulge3/S2_5P_APPhys_NoTether_Upgrade.odb,Load1,Increment     14: Step Time =   5.7264E-02,"PART-1-1",          8826,      -7.90293,       441.954,      -690.645,NA,NA,"",       2.11404,       1.94014,   101.451E-03,  -833.494E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5P_APPhys_NoTether_Upgrade.odb,Load1,Increment     14: Step Time =   5.7264E-02,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       2.65243,       2.19338,   626.915E-03,      -1.35331
C:/Users/ctkey/Desktop/Bulge3/S2_5P_APPhys_NoTether_Upgrade.odb,Load1,Increment     14: Step Time =   5.7264E-02,"PART-1-1",         12381,  -169.457E-03,       448.527,      -694.298,NA,NA,"",       1.90284,       1.22424,   591.517E-03,      -1.33122
