ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge2/S2_6P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         67481,      -1.09246,       466.044,      -738.176,NA,NA,"",   690.360E-03,  -68.6707E-03,   188.531E-03,  -660.558E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         72185,      -11.4076,       442.752,      -742.895,NA,NA,"",   344.447E-03,  -107.816E-03,   132.231E-03,  -299.224E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         74758,  -726.455E-03,       434.514,      -746.925,NA,NA,"",   158.410E-03,  -112.695E-03,   33.8304E-03,  -106.061E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         76402,      -1.19712,       450.257,      -743.220,NA,NA,"",   409.235E-03,  -86.0774E-03,   99.6901E-03,  -387.461E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         79143,       10.2095,       442.615,      -743.252,NA,NA,"",   240.715E-03,  -106.754E-03,   69.7653E-03,  -204.156E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         91547,      -15.3771,       452.519,      -739.266,NA,NA,"",   3.90344E-03,   1.80870E-03,  -3.42906E-03,  -454.946E-06
C:/Users/ctkey/Desktop/Bulge2/S2_6P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         96158,      -12.3403,       443.878,      -747.161,NA,NA,"",   899.288E-06,  -399.871E-06,   28.8679E-06,  -804.978E-06
C:/Users/ctkey/Desktop/Bulge2/S2_6P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         99748,      -1.08588,       435.679,      -751.769,NA,NA,"",   835.578E-06,  -82.7627E-06,  -26.3931E-06,  -831.051E-06
C:/Users/ctkey/Desktop/Bulge2/S2_6P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",        101677,      -1.11860,       450.634,      -747.156,NA,NA,"",   1.99811E-03,  -191.345E-06,   1.08065E-03,  -1.66974E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",        104690,       11.3998,       443.451,      -746.362,NA,NA,"",   450.199E-06,  -167.155E-06,  -13.0927E-06,  -417.812E-06
C:/Users/ctkey/Desktop/Bulge2/S2_6P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",        105011,      -12.5560,       442.888,      -744.389,NA,NA,"",   376.172E-03,  -365.230E-03,  -85.8432E-03,  -27.2636E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",        106429,      -8.73135,       450.255,      -742.662,NA,NA,"",   535.490E-03,  -275.027E-03,   447.424E-03,   104.507E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",        107452,      -1.10363,       450.959,      -745.356,NA,NA,"",   668.639E-03,  -5.59924E-03,   656.002E-03,  -129.259E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",         67481,      -1.09246,       466.044,      -738.176,NA,NA,"",   581.296E-03,  -154.788E-03,   114.513E-03,  -548.482E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",         72185,      -11.4076,       442.752,      -742.895,NA,NA,"",   463.972E-03,  -140.905E-03,   80.2798E-03,  -434.707E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",         74758,  -726.455E-03,       434.514,      -746.925,NA,NA,"",   386.018E-03,  -132.391E-03,   53.4436E-03,  -358.645E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",         76402,      -1.19712,       450.257,      -743.220,NA,NA,"",   487.671E-03,  -139.851E-03,   79.1607E-03,  -460.432E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",         79143,       10.2095,       442.615,      -743.252,NA,NA,"",   421.283E-03,  -140.204E-03,   78.2479E-03,  -389.486E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",         91547,      -15.3771,       452.519,      -739.266,NA,NA,"",   7.81081E-03,   1.30115E-03,  -7.64864E-03,  -902.221E-06
C:/Users/ctkey/Desktop/Bulge2/S2_6P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",         96158,      -12.3403,       443.878,      -747.161,NA,NA,"",   1.85086E-03,  -654.975E-06,  -1.07100E-03,  -1.36002E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",         99748,      -1.08588,       435.679,      -751.769,NA,NA,"",   2.27291E-03,  -22.7070E-06,  -698.612E-06,  -2.16276E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",        101677,      -1.11860,       450.634,      -747.156,NA,NA,"",   2.07934E-03,  -664.248E-06,   371.994E-06,  -1.93495E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",        104690,       11.3998,       443.451,      -746.362,NA,NA,"",   936.430E-06,  -400.168E-06,  -477.385E-06,  -699.193E-06
C:/Users/ctkey/Desktop/Bulge2/S2_6P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",        105011,      -12.5560,       442.888,      -744.389,NA,NA,"",   448.490E-03,  -425.269E-03,  -119.319E-03,  -77.7982E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",        106429,      -8.73135,       450.255,      -742.662,NA,NA,"",   533.597E-03,  -301.739E-03,   427.242E-03,   105.566E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",        107452,      -1.10363,       450.959,      -745.356,NA,NA,"",   685.892E-03,  -14.4055E-03,   670.870E-03,  -142.038E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     13: Step Time =   0.1009,"PART-1-1",         67481,      -1.09246,       466.044,      -738.176,NA,NA,"",   544.674E-03,  -262.554E-03,   81.6212E-03,  -470.184E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     13: Step Time =   0.1009,"PART-1-1",         72185,      -11.4076,       442.752,      -742.895,NA,NA,"",   450.220E-03,  -158.501E-03,   20.4444E-03,  -420.900E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     13: Step Time =   0.1009,"PART-1-1",         74758,  -726.455E-03,       434.514,      -746.925,NA,NA,"",   419.872E-03,  -123.326E-03,   53.6488E-03,  -397.750E-03
