ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge3/S2_4P_APPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",       2.65014,  -174.596E-03,       1.76181,      -1.97200
C:/Users/ctkey/Desktop/Bulge3/S2_4P_APPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",          8826,      -7.90293,       441.954,      -690.645,NA,NA,"",       2.05520,   641.865E-03,       1.63186,      -1.07185
C:/Users/ctkey/Desktop/Bulge3/S2_4P_APPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       2.14857,   813.647E-03,       1.73277,  -975.614E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4P_APPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         12381,  -169.457E-03,       448.527,      -694.298,NA,NA,"",       2.30381,   342.782E-03,       1.74936,      -1.45938
C:/Users/ctkey/Desktop/Bulge3/S2_4P_APPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         14718,       9.41286,       441.501,      -692.656,NA,NA,"",       2.63741,   597.473E-03,       2.10622,      -1.47065
C:/Users/ctkey/Desktop/Bulge3/S2_4P_APPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         21923,      -13.1654,       451.383,      -693.965,NA,NA,"",       1.55675,   266.294E-03,       1.13740,      -1.02902
C:/Users/ctkey/Desktop/Bulge3/S2_4P_APPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         25566,      -9.09206,       441.331,      -692.974,NA,NA,"",       1.57352,   576.461E-03,       1.32415,  -624.731E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4P_APPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         28021,   5.01118E-03,       433.364,      -700.360,NA,NA,"",       1.43124,   635.208E-03,       1.20915,  -427.677E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4P_APPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         29344,  -511.356E-03,       447.768,      -697.921,NA,NA,"",       1.75045,   277.919E-03,       1.29610,      -1.14323
C:/Users/ctkey/Desktop/Bulge3/S2_4P_APPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         31418,       11.0886,       440.894,      -694.746,NA,NA,"",       2.15398,   537.280E-03,       1.78755,      -1.07500
C:/Users/ctkey/Desktop/Bulge3/S2_4P_APPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         31648,      -8.64492,       441.480,      -692.086,NA,NA,"",       1.63046,   352.003E-03,       1.47353,  -602.676E-03
C:/Users/ctkey/Desktop/Bulge3/S2_4P_APPhys_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         31686,      -7.23312,       447.084,      -693.934,NA,NA,"",       1.90974,   199.239E-03,       1.54233,      -1.10844
