ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge2/S2_6P_LatSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         43603,  -921.183E-03,       465.855,      -724.351,NA,NA,"",   761.041E-03,  -281.462E-03,   323.384E-03,  -628.797E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_LatSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         45231,      -9.77407,       439.734,      -724.269,NA,NA,"",   507.283E-03,  -131.426E-03,   298.073E-03,   388.866E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_LatSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         48010,  -610.150E-03,       433.276,      -728.730,NA,NA,"",   714.984E-03,  -74.6721E-03,   180.315E-03,   687.832E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_LatSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         49528,  -260.693E-03,       448.147,      -727.116,NA,NA,"",   302.466E-03,  -166.905E-03,   233.977E-03,   94.2519E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_LatSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         51801,       9.34631,       440.491,      -724.991,NA,NA,"",   597.095E-03,  -132.887E-03,   380.924E-03,   440.182E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_LatSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         64922,      -16.3700,       448.439,      -724.476,NA,NA,"",   378.621E-03,  -121.033E-03,   356.559E-03,   39.6305E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_LatSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         72178,      -11.3847,       439.694,      -727.651,NA,NA,"",   397.871E-03,  -100.007E-03,   294.405E-03,   248.244E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_LatSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         75248,  -647.386E-03,       433.685,      -733.792,NA,NA,"",   457.356E-03,  -73.2680E-03,   176.258E-03,   415.619E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_LatSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         76817,  -299.212E-03,       448.134,      -730.141,NA,NA,"",   290.738E-03,  -105.122E-03,   254.537E-03,   93.2145E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_LatSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         79122,       10.3535,       439.980,      -728.202,NA,NA,"",   449.262E-03,  -98.5386E-03,   315.274E-03,   304.514E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_LatSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         79529,      -11.0291,       440.625,      -725.561,NA,NA,"",   493.178E-03,  -292.949E-03,   276.918E-03,   284.116E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_LatSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         79568,      -9.66771,       446.593,      -725.880,NA,NA,"",   518.438E-03,  -229.624E-03,   413.118E-03,   213.037E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_LatSlide_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         81971,  -257.612E-03,       448.750,      -728.916,NA,NA,"",   604.095E-03,  -125.725E-03,   583.828E-03,   90.9319E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     16: Step Time =   5.4862E-02,"PART-1-1",         43603,  -921.183E-03,       465.855,      -724.351,NA,NA,"",       1.33823,  -475.483E-03,   239.085E-03,      -1.22785
C:/Users/ctkey/Desktop/Bulge2/S2_6P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     16: Step Time =   5.4862E-02,"PART-1-1",         45231,      -9.77407,       439.734,      -724.269,NA,NA,"",   791.255E-03,  -239.770E-03,   165.479E-03,  -735.671E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     16: Step Time =   5.4862E-02,"PART-1-1",         48010,  -610.150E-03,       433.276,      -728.730,NA,NA,"",   669.166E-03,  -185.477E-03,   163.994E-03,  -621.681E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     16: Step Time =   5.4862E-02,"PART-1-1",         49528,  -260.693E-03,       448.147,      -727.116,NA,NA,"",   973.400E-03,  -316.672E-03,   197.074E-03,  -899.104E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     16: Step Time =   5.4862E-02,"PART-1-1",         51801,       9.34631,       440.491,      -724.991,NA,NA,"",   867.845E-03,  -247.485E-03,   321.859E-03,  -767.015E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     16: Step Time =   5.4862E-02,"PART-1-1",         64922,      -16.3700,       448.439,      -724.476,NA,NA,"",   533.288E-03,  -186.140E-03,   157.730E-03,  -474.203E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     16: Step Time =   5.4862E-02,"PART-1-1",         72178,      -11.3847,       439.694,      -727.651,NA,NA,"",   479.253E-03,  -180.489E-03,   151.634E-03,  -417.270E-03
C:/Users/ctkey/Desktop/Bulge2/S2_6P_LatSlide_NoTether_Upgrade.odb,Load1,Increment     16: Step Time =   5.4862E-02,"PART-1-1",         75248,  -647.386E-03,       433.685,      -733.792,NA,NA,"",   413.957E-03,  -164.780E-03,   120.485E-03,  -360.127E-03
