ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge2/S2_4P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         67481,      -1.09246,       466.044,      -738.176,NA,NA,"",   690.360E-03,  -68.6707E-03,   188.531E-03,  -660.558E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         72185,      -11.4076,       442.752,      -742.895,NA,NA,"",   344.447E-03,  -107.816E-03,   132.231E-03,  -299.224E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         74758,  -726.455E-03,       434.514,      -746.925,NA,NA,"",   158.410E-03,  -112.695E-03,   33.8304E-03,  -106.061E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         76402,      -1.19712,       450.257,      -743.220,NA,NA,"",   409.235E-03,  -86.0774E-03,   99.6901E-03,  -387.461E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         79143,       10.2095,       442.615,      -743.252,NA,NA,"",   240.715E-03,  -106.754E-03,   69.7653E-03,  -204.156E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         91547,      -15.3771,       452.519,      -739.266,NA,NA,"",   3.90344E-03,   1.80870E-03,  -3.42906E-03,  -454.946E-06
C:/Users/ctkey/Desktop/Bulge2/S2_4P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         96158,      -12.3403,       443.878,      -747.161,NA,NA,"",   899.288E-06,  -399.871E-06,   28.8679E-06,  -804.978E-06
C:/Users/ctkey/Desktop/Bulge2/S2_4P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         99748,      -1.08588,       435.679,      -751.769,NA,NA,"",   835.578E-06,  -82.7627E-06,  -26.3931E-06,  -831.051E-06
C:/Users/ctkey/Desktop/Bulge2/S2_4P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",        101677,      -1.11860,       450.634,      -747.156,NA,NA,"",   1.99811E-03,  -191.345E-06,   1.08065E-03,  -1.66974E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",        104690,       11.3998,       443.451,      -746.362,NA,NA,"",   450.199E-06,  -167.155E-06,  -13.0927E-06,  -417.812E-06
C:/Users/ctkey/Desktop/Bulge2/S2_4P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",        105011,      -12.5560,       442.888,      -744.389,NA,NA,"",   376.172E-03,  -365.230E-03,  -85.8432E-03,  -27.2636E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",        106429,      -8.73135,       450.255,      -742.662,NA,NA,"",   535.490E-03,  -275.027E-03,   447.424E-03,   104.507E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",        107452,      -1.10363,       450.959,      -745.356,NA,NA,"",   668.639E-03,  -5.59924E-03,   656.002E-03,  -129.259E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",         67481,      -1.09246,       466.044,      -738.176,NA,NA,"",   652.346E-03,  -108.966E-03,   159.449E-03,  -623.103E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",         72185,      -11.4076,       442.752,      -742.895,NA,NA,"",   472.338E-03,  -130.774E-03,   126.577E-03,  -435.866E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",         74758,  -726.455E-03,       434.514,      -746.925,NA,NA,"",   366.637E-03,  -134.507E-03,   71.5086E-03,  -333.492E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",         76402,      -1.19712,       450.257,      -743.220,NA,NA,"",   510.546E-03,  -118.424E-03,   109.073E-03,  -484.496E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",         79143,       10.2095,       442.615,      -743.252,NA,NA,"",   420.398E-03,  -130.223E-03,   91.1837E-03,  -389.182E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",         91547,      -15.3771,       452.519,      -739.266,NA,NA,"",   5.76933E-03,   1.87056E-03,  -5.42099E-03,  -631.708E-06
C:/Users/ctkey/Desktop/Bulge2/S2_4P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",         96158,      -12.3403,       443.878,      -747.161,NA,NA,"",   1.26976E-03,  -458.003E-06,  -358.402E-06,  -1.12875E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",         99748,      -1.08588,       435.679,      -751.769,NA,NA,"",   1.93506E-03,  -152.884E-06,  -406.716E-06,  -1.88565E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",        101677,      -1.11860,       450.634,      -747.156,NA,NA,"",   2.21012E-03,  -229.187E-06,   778.254E-06,  -2.05583E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",        104690,       11.3998,       443.451,      -746.362,NA,NA,"",   952.632E-06,  -200.266E-06,  -490.374E-06,  -791.792E-06
C:/Users/ctkey/Desktop/Bulge2/S2_4P_SlideSlide_Tether_Upgrade.odb,Load1,Increment     10: Step Time =   5.1258E-02,"PART-1-1",        105011,      -12.5560,       442.888,      -744.389,NA,NA,"",   435.961E-03,  -417.245E-03,  -101.950E-03,  -74.6678E-03
