ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge2/S2_4P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         43603,  -921.183E-03,       465.855,      -724.351,NA,NA,"",       1.41671,  -228.905E-03,   473.779E-03,      -1.31537
C:/Users/ctkey/Desktop/Bulge2/S2_4P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         45231,      -9.77407,       439.734,      -724.269,NA,NA,"",   754.975E-03,  -236.992E-03,   490.499E-03,  -522.717E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         48010,  -610.150E-03,       433.276,      -728.730,NA,NA,"",   477.815E-03,  -210.482E-03,   347.391E-03,  -251.643E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         49528,  -260.693E-03,       448.147,      -727.116,NA,NA,"",   859.734E-03,  -216.331E-03,   394.432E-03,  -732.644E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         51801,       9.34631,       440.491,      -724.991,NA,NA,"",   671.402E-03,  -232.173E-03,   464.627E-03,  -425.438E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         64922,      -16.3700,       448.439,      -724.476,NA,NA,"",   651.538E-03,  -169.162E-03,   465.012E-03,  -423.852E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         72178,      -11.3847,       439.694,      -727.651,NA,NA,"",   506.832E-03,  -181.001E-03,   403.234E-03,  -248.032E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         75248,  -647.386E-03,       433.685,      -733.792,NA,NA,"",   330.900E-03,  -170.643E-03,   267.331E-03,  -94.3931E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         76817,  -299.212E-03,       448.134,      -730.141,NA,NA,"",   504.104E-03,  -147.866E-03,   330.289E-03,  -350.950E-03
C:/Users/ctkey/Desktop/Bulge2/S2_4P_SlideSlide_Tether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         79122,       10.3535,       439.980,      -728.202,NA,NA,"",   413.262E-03,  -177.345E-03,   337.352E-03,  -159.775E-03
