ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/ctkey/Desktop/Bulge3/S2_5N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",          7024,       1.00620,       464.421,      -694.780,NA,NA,"",       2.42996,  -692.217E-03,       2.12263,  -959.145E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",          8826,      -7.90293,       441.954,      -690.645,NA,NA,"",       2.26099,  -340.270E-03,       2.22603,   202.712E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         11002,  -70.2815E-03,       433.010,      -695.314,NA,NA,"",       2.23343,  -192.877E-03,       2.11760,   683.208E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         12381,  -169.457E-03,       448.527,      -694.298,NA,NA,"",       2.19642,  -440.692E-03,       2.14759,  -133.722E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         14718,       9.41286,       441.501,      -692.656,NA,NA,"",       2.43113,  -331.915E-03,       2.39661,   237.647E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         21923,      -13.1654,       451.383,      -693.965,NA,NA,"",       1.81839,  -485.165E-03,       1.74121,  -198.405E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         25566,      -9.09206,       441.331,      -692.974,NA,NA,"",       1.95183,  -353.387E-03,       1.87620,   405.736E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         28021,   5.01118E-03,       433.364,      -700.360,NA,NA,"",       1.82135,  -241.762E-03,       1.56295,   903.364E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         29344,  -511.356E-03,       447.768,      -697.921,NA,NA,"",       1.73085,  -429.882E-03,       1.67633,   31.4752E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         31418,       11.0886,       440.894,      -694.746,NA,NA,"",       2.10758,  -346.549E-03,       2.03044,   446.223E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         31648,      -8.64492,       441.480,      -692.086,NA,NA,"",       2.16785,  -566.988E-03,       2.04126,   459.743E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         31686,      -7.23312,       447.084,      -693.934,NA,NA,"",       2.13367,  -596.804E-03,       2.04819,  -35.9842E-03
C:/Users/ctkey/Desktop/Bulge3/S2_5N_PhysPhys_NoTether_Upgrade.odb,Load1,Increment      0: Step Time =    0.000,"PART-1-1",         34090,   652.272E-03,       448.755,      -696.770,NA,NA,"",       2.15420,  -445.457E-03,       2.07762,  -354.475E-03
